BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;6046;0;z;;Sonne;z O n @;;;;;;;
6047;6614;0;O;;Sonne;z O n @;;;;;;;
12662;2645;0;n;;Sonne;z O n @;;;;;;;
15308;25136;0;@;;Sonne;z O n @;;;;;;;
40445;7496;1;z;;Säure;z OY r @;;;;;;;
47942;8378;1;OY;;Säure;z OY r @;;;;;;;
56321;6173;1;r;;Säure;z OY r @;;;;;;;
62495;11465;1;@;;Säure;z OY r @;;;;;;;
73961;19844;-1;<p:>;;;;;;;;;;
93806;5732;2;z;;Seele;z e: l @;;;;;;;
99539;10142;2;e:;;Seele;z e: l @;;;;;;;
109682;4409;2;l;;Seele;z e: l @;;;;;;;
114092;13229;2;@;;Seele;z e: l @;;;;;;;
127322;23813;-1;<p:>;;;;;;;;;;
151136;7496;3;z;;Säule;z OY l @;;;;;;;
158633;7496;3;OY;;Säule;z OY l @;;;;;;;
166130;7055;3;l;;Säule;z OY l @;;;;;;;
173186;12788;3;@;;Säule;z OY l @;;;;;;;
185975;21167;-1;<p:>;;;;;;;;;;
207143;8378;4;z;;Salz;z a l ts;;;;;;;
215522;4409;4;a;;Salz;z a l ts;;;;;;;
219932;10142;4;l;;Salz;z a l ts;;;;;;;
230075;12788;4;ts;;Salz;z a l ts;;;;;;;
242864;33956;-1;<p:>;;;;;;;;;;
276821;5732;5;z;;Samen;z a: m @ n;;;;;;;
282554;11906;5;a:;;Samen;z a: m @ n;;;;;;;
294461;3086;5;m;;Samen;z a: m @ n;;;;;;;
297548;22931;5;@;;Samen;z a: m @ n;;;;;;;
320480;15434;5;N;;Samen;z a: m @ n;;;;;;;
335915;3086;-1;<p:>;;;;;;;;;;
339002;6173;6;z;;Singen;z I N @ n;;;;;;;
345176;3968;6;I;;Singen;z I N @ n;;;;;;;
349145;2645;6;N;;Singen;z I N @ n;;;;;;;
351791;7496;6;@;;Singen;z I N @ n;;;;;;;
359288;7937;6;n;;Singen;z I N @ n;;;;;;;
367226;30869;-1;<p:>;;;;;;;;;;
398096;6614;7;z;;Sicht;z I C t;;;;;;;
404711;3968;7;I;;Sicht;z I C t;;;;;;;
408680;7937;7;C;;Sicht;z I C t;;;;;;;
416618;11024;7;t;;Sicht;z I C t;;;;;;;
427643;32633;-1;<p:>;;;;;;;;;;
460277;6173;8;z;;Sicher;z I C 6;;;;;;;
466451;3527;8;I;;Sicher;z I C 6;;;;;;;
469979;6614;8;C;;Sicher;z I C 6;;;;;;;
476594;14552;8;6;;Sicher;z I C 6;;;;;;;
491147;24695;-1;<p:>;;;;;;;;;;
515843;7055;9;z;;Sammlung;z a m l U N;;;;;;;
522899;4409;9;a;;Sammlung;z a m l U N;;;;;;;
527309;6173;9;m;;Sammlung;z a m l U N;;;;;;;
533483;3086;9;l;;Sammlung;z a m l U N;;;;;;;
536570;5291;9;U;;Sammlung;z a m l U N;;;;;;;
541862;8819;9;N;;Sammlung;z a m l U N;;;;;;;
550682;23813;-1;<p:>;;;;;;;;;;
574496;3968;10;z;;Sekunde;z e k U n d @;;;;;;;
578465;5291;10;e;;Sekunde;z e k U n d @;;;;;;;
583757;5732;10;k;;Sekunde;z e k U n d @;;;;;;;
589490;3086;10;U;;Sekunde;z e k U n d @;;;;;;;
592577;5291;10;n;;Sekunde;z e k U n d @;;;;;;;
597869;1322;10;d;;Sekunde;z e k U n d @;;;;;;;
599192;7055;10;@;;Sekunde;z e k U n d @;;;;;;;
606248;71000;-1;<p:>;;;;;;;;;;
677249;2204;11;?;;Essen;? E s @ n;;;;;;;
679454;5291;11;E;;Essen;? E s @ n;;;;;;;
684746;8378;11;s;;Essen;? E s @ n;;;;;;;
693125;8819;11;@;;Essen;? E s @ n;;;;;;;
701945;5291;11;n;;Essen;? E s @ n;;;;;;;
707237;21167;-1;<p:>;;;;;;;;;;
728405;4409;12;l;;Lesen;l e: z @ n;;;;;;;
732815;11024;12;e:;;Lesen;l e: z @ n;;;;;;;
743840;3968;12;z;;Lesen;l e: z @ n;;;;;;;
747809;9260;12;@;;Lesen;l e: z @ n;;;;;;;
757070;4409;12;n;;Lesen;l e: z @ n;;;;;;;
761480;18521;-1;<p:>;;;;;;;;;;
780002;4850;13;r;;Rasen;r a: z @ n;;;;;;;
784853;14993;13;a:;;Rasen;r a: z @ n;;;;;;;
799847;2645;13;z;;Rasen;r a: z @ n;;;;;;;
802493;8819;13;@;;Rasen;r a: z @ n;;;;;;;
811313;6614;13;n;;Rasen;r a: z @ n;;;;;;;
817928;19844;-1;<p:>;;;;;;;;;;
837773;1322;14;r;;Rosen;r o: z @ n;;;;;;;
839096;14552;14;o:;;Rosen;r o: z @ n;;;;;;;
853649;5732;14;z;;Rosen;r o: z @ n;;;;;;;
859382;3086;14;@;;Rosen;r o: z @ n;;;;;;;
862469;10583;14;n;;Rosen;r o: z @ n;;;;;;;
873053;23813;-1;<p:>;;;;;;;;;;
896867;3527;15;v;;Wissen;v I s @ n;;;;;;;
900395;6614;15;I;;Wissen;v I s @ n;;;;;;;
907010;3968;15;s;;Wissen;v I s @ n;;;;;;;
910979;4850;15;@;;Wissen;v I s @ n;;;;;;;
915830;13229;15;n;;Wissen;v I s @ n;;;;;;;
929060;23813;-1;<p:>;;;;;;;;;;
952874;7937;16;f;;Fressen;f r E s @ n;;;;;;;
960812;1763;16;r;;Fressen;f r E s @ n;;;;;;;
962576;5732;16;E;;Fressen;f r E s @ n;;;;;;;
968309;6614;16;s;;Fressen;f r E s @ n;;;;;;;
974924;5291;16;@;;Fressen;f r E s @ n;;;;;;;
980216;11465;16;n;;Fressen;f r E s @ n;;;;;;;
991682;19403;-1;<p:>;;;;;;;;;;
1011086;8819;17;S;;Schießen;S i: s @ n;;;;;;;
1019906;11465;17;i:;;Schießen;S i: s @ n;;;;;;;
1031372;7496;17;s;;Schießen;S i: s @ n;;;;;;;
1038869;7055;17;@;;Schießen;S i: s @ n;;;;;;;
1045925;11465;17;n;;Schießen;S i: s @ n;;;;;;;
1057391;15875;-1;<p:>;;;;;;;;;;
1073267;9701;18;f;;Fließen;f l i: s @ n;;;;;;;
1082969;3527;18;l;;Fließen;f l i: s @ n;;;;;;;
1086497;8378;18;i:;;Fließen;f l i: s @ n;;;;;;;
1094876;7055;18;s;;Fließen;f l i: s @ n;;;;;;;
1101932;5291;18;@;;Fließen;f l i: s @ n;;;;;;;
1107224;13229;18;n;;Fließen;f l i: s @ n;;;;;;;
1120454;13670;-1;<p:>;;;;;;;;;;
1134125;3968;19;r;;Reisen;r aI z @ n;;;;;;;
1138094;13670;19;aI;;Reisen;r aI z @ n;;;;;;;
1151765;7055;19;z;;Reisen;r aI z @ n;;;;;;;
1158821;7937;19;n;;Reisen;r aI z @ n;;;;;;;
1166759;58652;-1;<p:>;;;;;;;;;;
1225412;1322;20;b;;Bus;b U s;;;;;;;
1226735;4850;20;U;;Bus;b U s;;;;;;;
1231586;11906;20;s;;Bus;b U s;;;;;;;
1243493;33515;-1;<p:>;;;;;;;;;;
1277009;4409;21;n;;Nass;n a s;;;;;;;
1281419;5291;21;a;;Nass;n a s;;;;;;;
1286711;11906;21;s;;Nass;n a s;;;;;;;
1298618;34397;-1;<p:>;;;;;;;;;;
1333016;5291;22;S;;Schluss;S l U s;;;;;;;
1338308;3086;22;l;;Schluss;S l U s;;;;;;;
1341395;6614;22;U;;Schluss;S l U s;;;;;;;
1348010;9701;22;s;;Schluss;S l U s;;;;;;;
1357712;33515;-1;<p:>;;;;;;;;;;
1391228;4850;23;k;;Kuss;k U s;;;;;;;
1396079;5291;23;U;;Kuss;k U s;;;;;;;
1401371;11465;23;s;;Kuss;k U s;;;;;;;
1412837;37043;-1;<p:>;;;;;;;;;;
1449881;3968;24;m;;Mist;m I s t;;;;;;;
1453850;7055;24;I;;Mist;m I s t;;;;;;;
1460906;6614;24;s;;Mist;m I s t;;;;;;;
1467521;7496;24;t;;Mist;m I s t;;;;;;;
1475018;30428;-1;<p:>;;;;;;;;;;
1505447;6173;25;f;;Fass;f a s;;;;;;;
1511621;6173;25;a;;Fass;f a s;;;;;;;
1517795;12788;25;s;;Fass;f a s;;;;;;;
1530584;34397;-1;<p:>;;;;;;;;;;
1564982;2204;26;g;;Glas;g l a: s;;;;;;;
1567187;3968;26;l;;Glas;g l a: s;;;;;;;
1571156;12347;26;a:;;Glas;g l a: s;;;;;;;
1583504;10583;26;s;;Glas;g l a: s;;;;;;;
1594088;37043;-1;<p:>;;;;;;;;;;
1631132;5732;27;S;;Stuss;S t u: s;;;;;;;
1636865;4409;27;t;;Stuss;S t u: s;;;;;;;
1641275;4850;27;u:;;Stuss;S t u: s;;;;;;;
1646126;11906;27;s;;Stuss;S t u: s;;;;;;;
1658033;29546;-1;<p:>;;;;;;;;;;
1687580;3968;28;g;;Genuss;g @ n U s;;;;;;;
1691549;1322;28;@;;Genuss;g @ n U s;;;;;;;
1692872;4850;28;n;;Genuss;g @ n U s;;;;;;;
1697723;6173;28;U;;Genuss;g @ n U s;;;;;;;
1703897;11465;28;s;;Genuss;g @ n U s;;;;;;;
1715363;63944;-1;<p:>;;;;;;;;;;
1779308;8819;29;ts;;Zug;ts u: k;;;;;;;
1788128;10583;29;u:;;Zug;ts u: k;;;;;;;
1798712;7496;29;k;;Zug;ts u: k;;;;;;;
1806209;26459;-1;<p:>;;;;;;;;;;
1832669;2204;30;h;;Hexe;h E k s @;;;;;;;
1834874;6614;30;E;;Hexe;h E k s @;;;;;;;
1841489;4409;30;k;;Hexe;h E k s @;;;;;;;
1845899;3968;30;s;;Hexe;h E k s @;;;;;;;
1849868;7496;30;@;;Hexe;h E k s @;;;;;;;
1857365;28223;-1;<p:>;;;;;;;;;;
1885589;3527;31;k;;Katze;k a t s @;;;;;;;
1889117;7496;31;a;;Katze;k a t s @;;;;;;;
1896614;1322;31;t;;Katze;k a t s @;;;;;;;
1897937;7055;31;s;;Katze;k a t s @;;;;;;;
1904993;6614;31;@;;Katze;k a t s @;;;;;;;
1911608;23813;-1;<p:>;;;;;;;;;;
1935422;7055;32;S;;Scherz;S E 6 ts;;;;;;;
1942478;7496;32;E;;Scherz;S E 6 ts;;;;;;;
1949975;7496;32;6;;Scherz;S E 6 ts;;;;;;;
1957472;12788;32;ts;;Scherz;S E 6 ts;;;;;;;
1970261;22931;-1;<p:>;;;;;;;;;;
1993193;7937;33;ts;;Zahn;ts a: n;;;;;;;
2001131;11906;33;a:;;Zahn;ts a: n;;;;;;;
2013038;11906;33;n;;Zahn;ts a: n;;;;;;;
2024945;21167;-1;<p:>;;;;;;;;;;
2046113;2645;34;k;;Xylophon;k s y l o f o: n;;;;;;;
2048759;4850;34;s;;Xylophon;k s y l o f o: n;;;;;;;
2053610;3086;34;y;;Xylophon;k s y l o f o: n;;;;;;;
2056697;2645;34;l;;Xylophon;k s y l o f o: n;;;;;;;
2059343;6173;34;o;;Xylophon;k s y l o f o: n;;;;;;;
